Time,Joint_angle,chamber_1_pressure_bar,chamber_2_pressure_bar
18:01:23,0,0,0.017
18:01:23,0,0,0.017
18:01:23,0,0,0.017
18:01:23,0,0,0.017
18:01:23,0,0,0.017
18:01:23,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:24,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:25,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:26,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:27,0,0,0.017
18:01:28,0,0,0.017
18:01:28,0,0,0.017
18:01:28,0,0,0.017
18:01:28,0,0,0.017
18:01:28,0,0,0.017
18:01:28,0,0.126,0.126
18:01:28,0.201,0.315,0.315
18:01:28,0.28,0.335,0.295
18:01:28,0.546,0.335,0.275
18:01:28,0.528,0.345,0.305
18:01:29,0.518,0.325,0.295
18:01:29,0.685,0.225,0.265
18:01:29,0.555,0.265,0.245
18:01:29,0.706,0.305,0.275
18:01:29,0.621,0.275,0.305
18:01:29,0.745,0.295,0.275
18:01:29,0.415,0.245,0.265
18:01:29,0.63,0.315,0.245
18:01:29,0.52,0.255,0.265
18:01:29,0.516,0.285,0.315
18:01:30,0.687,0.295,0.285
18:01:30,0.555,0.305,0.295
18:01:30,0.31,0.275,0.305
18:01:30,0.401,0.305,0.285
18:01:30,0.45,0.275,0.305
18:01:30,0.646,0.315,0.295
18:01:30,0.759,0.305,0.295
18:01:30,0.822,0.285,0.315
18:01:30,0.63,0.335,0.305
18:01:31,0.751,0.315,0.295
18:01:31,0.817,0.295,0.315
18:01:31,0.853,0.355,0.315
18:01:31,0.873,0.325,0.315
18:01:31,0.885,0.295,0.305
18:01:31,0.891,0.295,0.285
18:01:31,0.895,0.285,0.325
18:01:31,0.897,0.305,0.315
18:01:31,0.732,0.315,0.285
18:01:31,0.807,0.325,0.295
18:01:32,0.848,0.305,0.305
18:01:32,0.871,0.335,0.285
18:01:32,0.883,0.285,0.335
18:01:32,0.891,0.345,0.305
18:01:32,0.895,0.285,0.285
18:01:32,0.897,0.295,0.335
18:01:32,0.898,0.295,0.305
18:01:32,0.899,0.295,0.285
18:01:32,0.899,0.285,0.315
18:01:32,0.9,0.364,0.305
18:01:33,0.9,0.335,0.315
18:01:33,0.9,0.285,0.315
18:01:33,0.9,0.295,0.315
18:01:33,0.9,0.285,0.295
18:01:33,0.9,0.335,0.345
18:01:33,0.9,0.295,0.315
18:01:33,0.9,0.285,0.295
18:01:33,0.9,0.295,0.305
18:01:33,0.674,0.285,0.325
18:01:34,0.547,0.315,0.315
18:01:34,0.703,0.305,0.315
18:01:34,0.789,0.285,0.295
18:01:34,0.838,0.275,0.305
