Time,J0_Ang,J0_fP1,J0_fP2,J1_Ang,J1_fP1,J1_fP2,J2_Ang,J2_fP1,J2_fP2,EE_P1
18:01:23,0,0,0,0,0.007,0,0,0,0.017,0
18:01:23,0,0,0,0,0.007,0,0,0,0.017,0
18:01:23,0,0,0,0,0.007,0,0,0,0.017,0
18:01:23,0,0,0,0,0.007,0,0,0,0.017,0
18:01:23,0,0,0,0,0.007,0,0,0,0.017,0
18:01:23,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:24,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:25,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:26,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:27,0,0,0,0,0.007,0,0,0,0.017,0
18:01:28,0,0,0,0,0.007,0,0,0,0.017,0
18:01:28,0,0,0,0,0.007,0,0,0,0.017,0
18:01:28,0,0,0,0,0.007,0,0,0,0.017,0
18:01:28,0,0,0,0,0.007,0,0,0,0.017,0
18:01:28,0,0,0,0,0.007,0,0,0,0.017,0
18:01:28,0,0.156,0,0,0.176,0.126,0,0.126,0.126,0
18:01:28,0,0.265,0,3.677,0.315,0.345,0.201,0.315,0.315,0
18:01:28,0,0.305,0,2.075,0.335,0.325,0.28,0.335,0.295,0
18:01:28,0,0.245,0,1.184,0.345,0.216,0.546,0.335,0.275,0
18:01:28,2.421,0.245,0,2.17,0.305,0.225,0.528,0.345,0.305,0
18:01:29,1.359,0.235,0,3.164,0.305,0.225,0.518,0.325,0.295,0
18:01:29,3.174,0.216,0,3.731,0.305,0.206,0.685,0.225,0.265,0
18:01:29,1.762,0.216,0,4.049,0.275,0.176,0.555,0.265,0.245,0
18:01:29,3.383,0.176,0,5.733,0.275,0.225,0.706,0.305,0.275,0
18:01:29,7.547,0.206,0,6.691,0.235,0.255,0.621,0.275,0.305,0
18:01:29,9.842,0.196,0,7.219,0.295,0.225,0.745,0.295,0.275,0
18:01:29,11.123,0.126,0,7.514,0.305,0.225,0.415,0.245,0.265,0
18:01:29,11.837,0.106,0,7.678,0.265,0.235,0.63,0.315,0.245,0
18:01:29,12.239,0.136,0,7.771,0.305,0.245,0.52,0.255,0.265,0
18:01:29,12.46,0.106,0,7.821,0.275,0.265,0.516,0.285,0.315,0
18:01:30,12.584,0.096,0,7.85,0.305,0.295,0.687,0.295,0.285,0
18:01:30,12.652,0.096,0,7.866,0.285,0.255,0.555,0.305,0.295,0
18:01:30,13.913,0.096,0,7.875,0.315,0.275,0.31,0.275,0.305,0
18:01:30,15.513,0.086,0,7.879,0.295,0.265,0.401,0.305,0.285,0
18:01:30,16.44,0.067,0,7.882,0.335,0.275,0.45,0.275,0.305,0
18:01:30,16.95,0.057,0,7.884,0.295,0.295,0.646,0.315,0.295,0
18:01:30,17.244,0.077,0,7.885,0.315,0.275,0.759,0.305,0.295,0
18:01:30,17.407,0.096,0,7.885,0.345,0.275,0.822,0.285,0.315,0
18:01:30,17.495,0.067,0,7.885,0.285,0.325,0.63,0.335,0.305,0
18:01:31,17.547,0.086,0,7.886,0.315,0.295,0.751,0.315,0.295,0
18:01:31,16.645,0.057,0,7.886,0.335,0.285,0.817,0.295,0.315,0
18:01:31,17.063,0.086,0,7.886,0.315,0.335,0.853,0.355,0.315,0
18:01:31,15.179,0.156,0,7.886,0.315,0.305,0.873,0.325,0.315,0
18:01:31,16.231,0.077,0,7.886,0.335,0.295,0.885,0.295,0.305,0
18:01:31,14.71,0.096,0,7.886,0.345,0.355,0.891,0.295,0.285,0
18:01:31,13.857,0.086,0,7.886,0.345,0.315,0.895,0.285,0.325,0
18:01:31,14.596,0.106,0,7.886,0.325,0.325,0.897,0.305,0.315,0
18:01:31,15.009,0.096,0,7.886,0.295,0.345,0.732,0.315,0.285,0
18:01:31,16.167,0.086,0,7.886,0.335,0.355,0.807,0.325,0.295,0
18:01:32,15.864,0.086,0,8.713,0.325,0.345,0.848,0.305,0.305,0
18:01:32,15.397,0.086,0,9.425,0.305,0.355,0.871,0.335,0.285,0
